Section 3, Beginner's Guide to EC2, Introducing EC2, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 2, https://acloudguru.visme.co/view/8r08r6nq-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part2

Section 3, Beginner's Guide to EC2, Introducing EC2, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609871879847-S3_L1_INTRODUCING_EC2.pdf

Section 3, Beginner's Guide to EC2, Introducing EC2, AWS Certified Developer Associate Interactive Study Guide: Beginner's Guide to EC2 - Part 1, https://acloudguru.visme.co/view/8r08r8nv-aws-certified-developer-associate-studyguide-s03-beginner-guide-to-ec2-part1

Section 3, Beginner's Guide to EC2, EC2 Pricing Options, AWS Whitepaper: Amazon EC2 Reserved Instances and Other AWS Reservation Models, https://docs.aws.amazon.com/whitepapers/latest/cost-optimization-reservation-models/cost-optimization-reservation-models.pdf

Section 3, Beginner's Guide to EC2, EC2 Pricing Options, AWS Pricing Calculator, https://calculator.aws/

Section 3, Beginner's Guide to EC2, EC2 Pricing Options, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609872027849-S3_L2_EC2-PRICING_OPTIONS.pdf

Section 3, Beginner's Guide to EC2, Exploring EC2 Instance Types, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609872206715-S3_L3_EXPLORING_EC2_INSTANCE_TYPES.pdf

Section 3, Beginner's Guide to EC2, Exploring EC2 Instance Types, EC2 Instance Types, https://aws.amazon.com/ec2/instance-types/

Section 3, Beginner's Guide to EC2, Launching an EC2 Instance - Demo, index.html file, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1621302646242-basichtml.zip

Section 3, Beginner's Guide to EC2, How to Use Putty Demo (Windows Users Only), Download Putty, https://www.chiark.greenend.org.uk/~sgtatham/putty/latest.html

Section 3, Beginner's Guide to EC2, How to Use Putty Demo (Windows Users Only), AWS Putty User Guide, https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/putty.html

Section 3, Beginner's Guide to EC2, Understanding EBS Volumes, Amazon EBS volume types, https://aws.amazon.com/ebs/volume-types/

Section 3, Beginner's Guide to EC2, Understanding EBS Volumes, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609872341721-S3_L5_UNDERSTANDING_EBS_VOLUMES.pdf

Section 3, Beginner's Guide to EC2, Understanding EBS Volumes, EBS Volumes Documentation, https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-volume-types.html

Section 3, Beginner's Guide to EC2, Creating an EBS Volume - Demo, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609872427227-S3_L6_CREATING_AN_EBS_VOLUME_DEMO.pdf

Section 3, Beginner's Guide to EC2, Exploring Elastic Load Balancer, Create an HTTPS listener for your Application Load Balancer, https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html

Section 3, Beginner's Guide to EC2, Exploring Elastic Load Balancer, Elastic Load Balancing features compared, https://aws.amazon.com/elasticloadbalancing/features/

Section 3, Beginner's Guide to EC2, Exploring Elastic Load Balancer, AWS Elastic Load Balancing: Support for SSL Termination, https://aws.amazon.com/blogs/aws/elastic-load-balancer-support-for-ssl-termination/

Section 3, Beginner's Guide to EC2, Exploring Elastic Load Balancer, Gateway Load Balancer, https://aws.amazon.com/elasticloadbalancing/gateway-load-balancer/

Section 3, Beginner's Guide to EC2, Exploring Elastic Load Balancer, PDF, https://acloudguru-content-attachment-production.s3-accelerate.amazonaws.com/1609872756371-S3_L8_ELB.pdf

